name;buildingnumber;Lat;Long;Start_date;end_date;shortdescription;description;categories/0;categories/1;categories/2;image;imgURL;thumbnail;parent
Student housing Witbreuksweg;;52.250327;6.861741;;;The ground floor and the first floor of the pyramid dwellings at 'Witbreuksweg' house student communities, having their own...;"The ground floor and the first
floor of the pyramid dwellings at 'Witbreuksweg' house student communities, having
their own sanitary facilities and a communal kitchen. The size of the rooms
varies between 16 and 22 m2. The third floor consists of independent
rooms, each having sanitary facilities and a kitchen block of its own. The upper floor of the
pyramid dwellings contains apartments.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ida/5783bd01031259a2003a684304fe3b0b005f0f6f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i75/83929f01031259a2003a684304fe3b0b005f0f6f020701c1da00da0080.jpg;
Bus stop UT Langenkampweg;;52.249723;6.851037;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1c/7f9f600103e65ca200ea748d04b13b0b00d1c4c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/idc/8251420103e65ca200ea748d04b13b0b00d1c4c2010701c1da00da0080.jpg;
Employee housing Reelaan;;52.248931;6.847497;;;;;Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i35/0de2550103435ba200d8e9f602bc3b0b0068e38c010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i53/f1abc00103435ba200d8e9f602bc3b0b0068e38c010701c1da00da0080.jpg;
Employee housing Langenkampweg;;52.24835;6.852612;;;;;Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i86/d362dd0103355ba2006a5ef502bc3b0b009dcb8c010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic5/a7711f0103355ba2006a5ef502bc3b0b009dcb8c010701c1da00da0080.jpg;
"""Verreveld""";;52.247813;6.851016;;;Verreveld is a foodball field.;Verreveld is a foodball field.;Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibc/d6bb3a010320076d00d5c52e04763b0b000c5242020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0d/8d02fd010320076d00d5c52e04763b0b000c5242020701c1da00da0080.jpg;
Mondriaan;59;52.247406;6.852882;;;The 'Mondriaan' complex consists of fully equipped 1-, 2- and 3-room apartments intended for students from abroad. All...;"The 'Mondriaan' complex
consists of fully equipped 1-, 2- and 3-room apartments intended for students
from abroad. All apartments have their own kitchen.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9b/b548ed0103b2036d0095d6f403763b0b00437f5c020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i82/c6e6f80103b2036d0095d6f403763b0b00437f5c020701c1da00da0080.jpg;
Student housing Matenweg Patio;;52.247258;6.848142;;;These student accommodations mainly consist of low-rise buildings and are built around a little square. The student communities...;"These student accommodations
mainly consist of low-rise buildings and are built around a little square. The
student communities consist of 6 to 17 students. Each room has its own washbasin.
Tenants share a shower and toilet with two other tenants. Some rooms have their
own shower and toilet. The rooms vary in size from 10 to 25 m2.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2a/2ee90f01038c58a200fb9a4d04fe3b0b00c6c96e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i32/a8487e01038c58a200fb9a4d04fe3b0b00c6c96e020701c1da00da0080.jpg;
Student housing Matenweg Pyramide;;52.247256;6.847579;;;On the ground floor and the first floor of the pyramid dwellings at 'Matenweg Pyramide', student communities are located having...;"On the ground floor and the
first floor of the pyramid dwellings at 'Matenweg Pyramide', student
communities are located having their own sanitary facilities and a communal
kitchen. The second floor consists of independent rooms measuring 16 m2.
These rooms are equipped with sanitary facilities and a kitchen block. On the
upper floor of the pyramid apartments are located. The apartments vary in size
from 35 to 43 m2 and have their own sanitary facilities and kitchen.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie6/476e0201038e58a20068434c04fe3b0b00acee6e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i22/001dd101038e58a20068434c04fe3b0b00acee6e020701c1da00da0080.jpg;
Matenweg 10;;52.24708;6.847916;;;These student accommodations mainly consist of low-rise buildings and are built around a little square. The student communities...;"These student accommodations mainly consist of low-rise buildings and 
are built around a little square. The student communities consist of 6 
to 17 students. Each room has its own washbasin. Tenants share a shower 
and toilet with two other tenants. Some rooms have their own shower and 
toilet. The rooms vary in size from 10 to 25 m2.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i61/430e530103c660a200d3eb6802b13b0b001155cc010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i7e/ef028b0103c660a200d3eb6802b13b0b001155cc010701c1da00da0080.jpg;poiobject:A950BEF9D8D0C97967A61719B4941C07
Vlinder, day-care centre;60;52.247076;6.851767;;;The on-campus child care centres De Vlinder  (0-4 years) and De Reuzenvlinder  (4-12 years) offer day care and after...;"The on-campus child care
centres De Vlinder  (0-4 years) and De Reuzenvlinder  (4-12 years) offer day
care and after school programmes for children of on-campus employees of
University of Twente. The childcare centres include many outdoor activities in
their daily routine as part of a play and move in nature  programme. A Green
Council focuses on increasing environmental awareness. Facilities include a
garden with a little patch of forest, as well as use of University of Twente's
open air theatre, swimming pool and sport facilities.";Buildings;Facilities;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0a/9e55f801031658a200128fb702fe3b0b004bc871020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3a/c6ae6301031658a200128fb702fe3b0b004bc871020701c1da00da0080.jpg;
Patio Complex;;52.246768;6.849053;;;The 'Patio Complex', designed by Herman Haan, is a residential facility consisting of seventeen small patios, one large one, and...;"The 'Patio Complex', designed
by Herman Haan, is a residential facility consisting of seventeen small patios,
one large one, and a pond. It is an explicit invitation to gather together, as
Haan sought to create a close-knit student community. He drew his inspiration
from travels in Africa, where he studied the cave dwellers in Southern Tunisia.
The complex merges subtly into its surroundings; in fine weather the patios are
an extension of the living rooms. The complex received
the status of National Monument in 2013.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie4/d802ec0103405ca20043130004fe3b0b00179c69020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i80/0411280103405ca20043130004fe3b0b00179c69020701c1da00da0080.jpg;
Employee housing Torenflat;;52.246576;6.846885;;;The Torenflat at the Campuslaan comprises 13 apartments, each with its own sanitary facilities and an own kitchen. The...;"The Torenflat at the
Campuslaan comprises 13 apartments, each with its own sanitary facilities and an
own kitchen. The apartments measure 32m2 and are fully equipped. The
ground floor has a communal washing room. The apartments are
intended for foreign staff.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i41/d7d36601030d5aa20045f64e04fe3b0b00e8c162020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i72/025f5101030d5aa20045f64e04fe3b0b00e8c162020701c1da00da0080.jpg;
Baseball field;;52.246328;6.85122;;;The baseball field is used to play baseball and softball.;"The baseball field is used to play baseball and
softball.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i09/0446f30103b65ba200cafaee02fe3b0b00038258020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ieb/fe7d9d0103b65ba200cafaee02fe3b0b00038258020701c1da00da0080.jpg;
Parking Sleutel building;;52.246319;6.852942;;;;;Parking;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1e/82759b0103a15da2003bc39002b13b0b00d280c9010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i55/1c0b5a0103a15da2003bc39002b13b0b00d280c9010701c1da00da0080.jpg;poiobject:ECE0F07D03CA3AEF71491B9F61C54518
Bus stop UT Reelaan;;52.246315;6.8521;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ib8/92e75f0103105da200afc68f04b13b0b00b0f0c2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iaa/2544820103105da200afc68f04b13b0b00b0f0c2010701c1da00da0080.jpg;
Student housing Campuslaan Hoog;;52.246213;6.849144;;;The flats of 'Campuslaan Hoog' are four-storey flats. One flat houses two groups of twelve to sixteen students. One group has a...;"The flats of 'Campuslaan Hoog'
are four-storey flats. One flat houses two groups of twelve to sixteen
students. One group has a balcony, the other a terrace. The rooms are either 10
or 13 m2. Each group has three showers, two toilets and five
washbasins.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2d/3f95a30103275ba2009a114d04fe3b0b00408a6e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i18/a27ce30103275ba2009a114d04fe3b0b00408a6e020701c1da00da0080.jpg;
