availablefrom,availableuntil,buildingnumber,categories/0,description,geolocation/0/latitude,geolocation/0/longitude,geolocationentrances/0/latitude,geolocationentrances/0/longitude,id,image/fullurl,image/thumbnail,maxzoomlevel,minzoomlevel,name,openinghours/hasopeninghours,openinghours/opennow,openinghours/unknown,openinghours/weekdays/0/day,openinghours/weekdays/0/fulltext,openinghours/weekdays/0/timestext,openinghours/weekdays/1/day,openinghours/weekdays/1/fulltext,openinghours/weekdays/1/timestext,openinghours/weekdays/2/day,openinghours/weekdays/2/fulltext,openinghours/weekdays/2/timestext,openinghours/weekdays/3/day,openinghours/weekdays/3/fulltext,openinghours/weekdays/3/timestext,openinghours/weekdays/4/day,openinghours/weekdays/4/fulltext,openinghours/weekdays/4/timestext,openinghours/weekdays/5/day,openinghours/weekdays/5/fulltext,openinghours/weekdays/5/timestext,openinghours/weekdays/6/day,openinghours/weekdays/6/fulltext,openinghours/weekdays/6/timestext,openinghours/weekdaytext/0,parent,shortdescription,zoomlimit,openinghours/periods/0/close/day,openinghours/periods/0/close/time,openinghours/periods/0/open/day,openinghours/periods/0/open/time,openinghours/periods/1/close/day,openinghours/periods/1/close/time,openinghours/periods/1/open/day,openinghours/periods/1/open/time,openinghours/periods/2/close/day,openinghours/periods/2/close/time,openinghours/periods/2/open/day,openinghours/periods/2/open/time,openinghours/periods/3/close/day,openinghours/periods/3/close/time,openinghours/periods/3/open/day,openinghours/periods/3/open/time,openinghours/periods/4/close/day,openinghours/periods/4/close/time,openinghours/periods/4/open/day,openinghours/periods/4/open/time,openinghours/weekdaytext/1,openinghours/weekdaytext/2,openinghours/weekdaytext/3,openinghours/weekdaytext/4,openinghours/weekdaytext/5,openinghours/weekdaytext/6,categories/1,openinghours/periods/5/close/day,openinghours/periods/5/close/time,openinghours/periods/5/open/day,openinghours/periods/5/open/time,openinghours/periods/6/close/day,openinghours/periods/6/close/time,openinghours/periods/6/open/day,openinghours/periods/6/open/time,categories/2,area/0/latitude,area/0/longitude,area/1/latitude,area/1/longitude,area/2/latitude,area/2/longitude,area/3/latitude,area/3/longitude,area/4/latitude,area/4/longitude,area/5/latitude,area/5/longitude,area/6/latitude,area/6/longitude,area/7/latitude,area/7/longitude,area/8/latitude,area/8/longitude,area/9/latitude,area/9/longitude,area/10/latitude,area/10/longitude,image,keywords/0,keywords/1,keywords/2,keywords/3,openinghours/periods/7/close/day,openinghours/periods/7/close/time,openinghours/periods/7/open/day,openinghours/periods/7/open/time,openinghours/periods/8/close/day,openinghours/periods/8/close/time,openinghours/periods/8/open/day,openinghours/periods/8/open/time,openinghours/periods/9/close/day,openinghours/periods/9/close/time,openinghours/periods/9/open/day,openinghours/periods/9/open/time
2016-06-07T07:19:19.232Z,,27,poicategory:9633E0C77CE5E08A89D02D1349309115,"The European Membrane
Institute Twente (EMI Twente) performs confidential contract research directly
with industry in the field of membrane science and technology. It acts as an
interface between academic research and industrial needs. EMI Twente is
strongly linked to the Membrane Science and Technology group, representing a
cluster of membrane related research groups. Research areas EMI Twente is
active in cover a diverse set of expertises, including polymeric, inorganic and
hybrid membranes, as well as transport phenomena and process design.",52.236913,6.860068,52.23762,6.86064,poiobject:E2A9B14DDF8AAB98D72AE92407B658AF,http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic0/75a54701038c036d0015d6f403723b0b009631bf030701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/id8/ab1f8501038c036d0015d6f403723b0b009631bf030701c1da00da0080.jpg,15,0,The European Membrane Institute Twente,false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,poiobject:AD8FC6887219E0D7C88E9CBAF071F50B,The European Membrane Institute Twente (EMI Twente) performs confidential contract research directly with industry in the fieldâ€¦,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T12:27:25.400Z,,27,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"The 'Meander' building has
been built in 2007 between the east- and southwing of the 'Horst' building.
Research groups located in the 'Meander' work on projects like for instance
production, transportation, storage and use of sustainable energy sources. The
building is connected to the 'Horst' building and doesn't have an own entrance.",52.236913,6.860068,52.23762,6.86064,poiobject:AD8FC6887219E0D7C88E9CBAF071F50B,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4d/dae25901032f5aa2002e72a702fe3b0b00213868020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/ib0/875f5801032f5aa2002e72a702fe3b0b00213868020701c1da00da0080.jpg,12,0,Meander,true,true,false,Sunday,Sunday: Closed,Closed,Monday,Monday: 08:00 - 20:00,08:00 - 20:00,Tuesday,Tuesday: 08:00 - 20:00,08:00 - 20:00,Wednesday,Wednesday: 08:00 - 20:00,08:00 - 20:00,Thursday,Thursday: 08:00 - 20:00,08:00 - 20:00,Friday,Friday: 08:00 - 18:00,08:00 - 18:00,Saturday,Saturday: Closed,Closed,Sunday: Closed,,The 'Meander' building has been built in 2007 between the east- and southwing of the 'Horst' building. Research groups locatedâ€¦,0,1,2000,1,0800,2,2000,2,0800,3,2000,3,0800,4,2000,4,0800,5,1800,5,0800,Monday: 08:00 - 20:00,Tuesday: 08:00 - 20:00,Wednesday: 08:00 - 20:00,Thursday: 08:00 - 20:00,Friday: 08:00 - 18:00,Saturday: Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T12:43:48.542Z,,49,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"The campus accommodates a
large sports centre. Students and staff of the University of Twente practice a great
variety of sports in this venue. A large number of (student) sports
associations use the sports centre for training and competition purposes.
Besides this the sports centre is used on behalf of events and (international)
sports tournaments. The centre includes a 25-metre swimming pool and two large
sports halls that are used for football and basketball, among other things. And
what to think of a dojo and four sports halls for badminton, volleyball,
fencing, table tennis, zumba and power yoga, to name a few.Â ",52.243936,6.851102,52.244053,6.850807,poiobject:C7D7F01306C0F00A1725A20432040531,http://campusapp.webhare-test.utsp.utwente.nl/.uc/iec/d31a810103ee046d00e8cbf403723b0b009a8dcd030701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4f/46f5ab0103ee046d00e8cbf403723b0b009a8dcd030701c1da00da0080.jpg,12,0,Sports centre,true,false,false,Sunday,Sunday: 08:00 - 18:00,08:00 - 18:00,Monday,Monday: 08:00 - 24:00,08:00 - 24:00,Tuesday,Tuesday: 08:00 - 24:00,08:00 - 24:00,Wednesday,Wednesday: 08:00 - 24:00,08:00 - 24:00,Thursday,Thursday: 08:00 - 24:00,08:00 - 24:00,Friday,Friday: 08:00 - 24:00,08:00 - 24:00,Saturday,Saturday: 08:00 - 23:00,08:00 - 23:00,Sunday: 08:00 - 18:00,,The campus accommodates a large sports centre. Students and staff of the University of Twente practice a great variety of sportsâ€¦,0,1,00-1,1,0800,2,00-1,2,0800,3,00-1,3,0800,4,00-1,4,0800,5,00-1,5,0800,Monday: 08:00 - 24:00,Tuesday: 08:00 - 24:00,Wednesday: 08:00 - 24:00,Thursday: 08:00 - 24:00,Friday: 08:00 - 24:00,Saturday: 08:00 - 23:00,poicategory:ED5340BB14A2F25B367A91BB38668C26,6,2300,6,0800,0,1800,0,0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T12:44:21.031Z,,18,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"The art academy ArtEZ used to
be located here, but has moved to the city of Enschede. The building is empty
right now and is waiting for a new department to move in.",52.237563,6.856488,52.237817,6.85644,poiobject:6D47B9F959335A81F0A35CAFAF8315BC,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2d/d6098d01037b5ea200d1f3b002fe3b0b0042936f020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6e/35ff2a01037b5ea200d1f3b002fe3b0b0042936f020701c1da00da0080.jpg,15,0,Technohal (former Artez),false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,,"The art academy ArtEZ used to be located here, but has moved to the city of Enschede. The building is empty right now and isâ€¦",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-17T13:22:16.411Z,,65,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"'Logica' is a lodging and
meeting accommodation, situated on the border of the campus, surrounded by many
sports facilities. It is an ideal spot for meetings, courses, training camps and
sports events. The building has a lecture hall for meetings of up to 60 people,
as well as four apartments comprising 24 rooms for single or double use.",52.244932,6.846299,52.24502,6.846497,poiobject:58CA6BB7727F2A636F70B799CE6D7469,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9c/e4b0fb0103445da2005fbbd502fe3b0b008e0b68020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i85/9212080103445da2005fbbd502fe3b0b008e0b68020701c1da00da0080.jpg,15,0,Logica,false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,,"'Logica' is a lodging and meeting accommodation, situated on the border of the campus, surrounded by many sports facilities. Itâ€¦",0,,,,,,,,,,,,,,,,,,,,,,,,,,,poicategory:BBAB41035A7D80D922C3AB92FDE78B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T12:20:56.011Z,,21,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"This large complex of
buildings is the home base of several faculties and institutes. For example,
the laboratories of the research institute MIRA, the institute for biomedical
technology and technical medicine of the University of Twente are located here.
Leading research into how stem cells can be induced to form new bone tissue is
conducted here. The complex also houses several departments of the faculty of
Engineering Technology. Besides that students attend lectures of the Science
and Technology and Engineering Technology faculties in here.<br/><b><br/></b><b>Horst by van Mourik &amp; Du Pon/ Van Mourik &amp; Vermeu</b><b>len</b><b><br/></b>Horst Tower, an important landmark on the campus, also has its origin in the New Objectivity. The tower clearly demonstrates the principle of the separation of functions: supporting functions such as elevators, emergency staircase, washrooms and air conditioning are installed in thehuge concrete shafts.Â ",52.237463,6.860203,52.237618,6.860649,poiobject:3C4A25C0310E988682272B6AA3EF29DF,http://campusapp.webhare-test.utsp.utwente.nl/.uc/id5/d959c101039057a2003d63ad02fe3b0b008dfc64020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/iea/43299b01039057a2003d63ad02fe3b0b008dfc64020701c1da00da0080.jpg,12,0,Horst,true,true,false,Sunday,Sunday: Closed,Closed,Monday,Monday: 08:00 - 20:00,08:00 - 20:00,Tuesday,Tuesday: 08:00 - 20:00,08:00 - 20:00,Wednesday,Wednesday: 08:00 - 20:00,08:00 - 20:00,Thursday,Thursday: 08:00 - 20:00,08:00 - 20:00,Friday,Friday: 08:00 - 18:00,08:00 - 18:00,Saturday,Saturday: Closed,Closed,Sunday: Closed,,"This large complex of buildings is the home base of several faculties and institutes. For example, the laboratories of theâ€¦",21,1,2000,1,0800,2,2000,2,0800,3,2000,3,0800,4,2000,4,0800,5,1800,5,0800,Monday: 08:00 - 20:00,Tuesday: 08:00 - 20:00,Wednesday: 08:00 - 20:00,Thursday: 08:00 - 20:00,Friday: 08:00 - 18:00,Saturday: Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-05T21:07:47.227Z,,,poicategory:8C20C7E8A2366A557E07479375389AD3,"You can easily buy your
groceries on campus at the CoopCompact supermarket.",52.243799,6.851472,52.243779,6.851536,poiobject:138555D046F5C274DCDFE2BB6339D2AB,http://campusapp.webhare-test.utsp.utwente.nl/.uc/if4/909dfd0103fb5aa200e38a8304fe3b0b00132b6f020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i1b/75a3910103fb5aa200e38a8304fe3b0b00132b6f020701c1da00da0080.jpg,12,0,Supermarket,true,true,false,Sunday,Sunday: Closed,Closed,Monday,Monday: 08:00 - 19:00,08:00 - 19:00,Tuesday,Tuesday: 08:00 - 19:00,08:00 - 19:00,Wednesday,Wednesday: 08:00 - 19:00,08:00 - 19:00,Thursday,Thursday: 08:00 - 19:00,08:00 - 19:00,Friday,Friday: 08:00 - 19:00,08:00 - 19:00,Saturday,Saturday: 08:00 - 17:00,08:00 - 17:00,Sunday: Closed,,You can easily buy your groceries on campus at the CoopCompact supermarket.,21,1,1900,1,0800,2,1900,2,0800,3,1900,3,0800,4,1900,4,0800,5,1900,5,0800,Monday: 08:00 - 19:00,Tuesday: 08:00 - 19:00,Wednesday: 08:00 - 19:00,Thursday: 08:00 - 19:00,Friday: 08:00 - 19:00,Saturday: 08:00 - 17:00,,6,1700,6,0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-03T09:59:01.888Z,,61,poicategory:4093ABF808190FDB723996EF584A8B4E,"A HumanCapitalCare branch is
located on the campus. HumanCapaitalCare is the company doctor and the
occupational health and safety service provider of the university. More
information: www.humancapitalcare.nl",52.244201,6.849195,52.244292,6.849379,poiobject:8A7AA9B9A574F7871D3463413CC417F0,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i26/ca6429010359036d0090d7f403723b0b003b51b5030701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic2/fe1559010359036d0090d7f403723b0b003b51b5030701c1da00da0080.jpg,15,0,Company Doctor,false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,poiobject:F42D45BAA04F249EDA23DB3BC6E64025,A HumanCapitalCare branch is located on the campus. HumanCapaitalCare is the company doctor and the occupational health andâ€¦,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T12:23:40.543Z,,61,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"Building 'Linde' accommodates HumanCapitalCare,
an independent, accredited occupational health &amp; safety service. The
service provision consists of health management, prevention, sick leave
follow-up, as well as intervention and reintegration.",52.244201,6.849195,52.244292,6.849379,poiobject:F42D45BAA04F249EDA23DB3BC6E64025,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i26/ca6429010359036d0090d7f403723b0b003b51b5030701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic2/fe1559010359036d0090d7f403723b0b003b51b5030701c1da00da0080.jpg,12,0,Linde,false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,,"Building 'Linde' accommodates HumanCapitalCare, an independent, accredited occupational health & safety service. The serviceâ€¦",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03T11:59:45.090Z,,44,poicategory:5DA0909668B82DF2487EAA7FF30DAE60,"The 'Drienerburght' is a
conference hotel in the middle of the campus of the University of Twente. The building has 64
hotel rooms and five conference halls.",52.242515,6.85381,52.242228,6.853707,poiobject:B74B3DDEF2E60767851D8FF79D81D4FC,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i32/a714920103a3ff6c000adaf403763b0b007a7352020701c13c03000080.jpg,http://campusapp.webhare-test.utsp.utwente.nl/.uc/i25/dffb8a0103a3ff6c000adaf403763b0b007a7352020701c1da00da0080.jpg,12,0,Drienerburght,false,false,false,Sunday,Sunday: Closed,Closed,Monday,Monday: Closed,Closed,Tuesday,Tuesday: Closed,Closed,Wednesday,Wednesday: Closed,Closed,Thursday,Thursday: Closed,Closed,Friday,Friday: Closed,Closed,Saturday,Saturday: Closed,Closed,This item has no opening hours,,The 'Drienerburght' is a conference hotel in the middle of the campus of the University of Twente. The building has 64 hotelâ€¦,0,,,,,,,,,,,,,,,,,,,,,,,,,,,poicategory:BBAB41035A7D80D922C3AB92FDE78B12,,,,,,,,,poicategory:4A2B200C4318F7D5CDE0661CA7A71557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
